raw_venue,normalized_venue
2018 IEEE Conference on Control Technology and Applications (CCTA),Ieee Conference On Control Technology And Applications
Acta Numerica,Acta Numerica
"2019 IEEE 5th International Conference on Identity, Security, and Behavior Analysis (ISBA)","Ieee International Conference On Identity, Security, And Behavior Analysis"
"Miami Beach, FL","Miami Beach, Fl"
Readings in database systems (2nd ed.),Readings In Database Systems
RED-REVISTA DE EDUCACION A DISTANCIA,Red-Revista De Educacion A Distancia
MIRA,Mira
symposium on discrete algorithms,Symposium On Discrete Algorithms
"Proceedings - 2013 2nd International Conference on Robot, Vision and Signal Processing, RVSP 2013","Proceedings - International Conference On Robot, Vision And Signal Processing, Rvsp"
2016 IEEE International Solid-State Circuits Conference,Ieee International Solid- State Circuits Conference
2012 IEEE 9TH INTERNATIONAL CONFERENCE ON MOBILE AD-HOC AND SENSOR SYSTEMS (MASS): WORKSHOPS,Ieee International Conference On Mobile Ad-Hoc And Sensor Systems : Workshops
"THEORY AND APPLICATIONS OF SATISFIABILITY TESTING, SAT 2021",Theory And Applications Of Satisfiability Testing
MIXER,Mixer
"Mobility Conference 2007 - The 4th Int. Conf. Mobile Technology, Applications and Systems, Mobility 2007, Incorporating the 1st Int. Symp. Computer Human Interaction in Mobile Technology, IS-CHI 2007","Mobility Conference - The Int Conf Mobile Technology, Applications And Systems, Mobility , Incorporating The Int Symp Computer Human Interaction In Mobile Technology, Is-Chi"
CVPRW '04 Proceedings of the 2004 Conference on Computer Vision and Pattern Recognition Workshop (CVPRW'04) Volume 3 - Volume 03,Cvprw Proceedings Of The Conference On Computer Vision And Pattern Recognition Workshop
ICAISC (2),Icaisc
Secure Data Management,Secure Data Management
Recognizing deviations from normalcy for brain tumor segmentation,Recognizing Deviations From Normalcy For Brain Tumor Segmentation
"Availability, Reliability and Security","Availability, Reliability And Security"
Towards the Learning Grid,Towards The Learning Grid
Middleware Doctoral Symposium,Middleware (Doctoral Symposium
SAICSIT Conf.,Saicsit Conf
Teleteaching,Teleteaching
Asia Pacific Microwave Conference-Proceedings,Asia Pacific Microwave Conference-Proceedings
fundamentals of software engineering,Fundamentals Of Software Engineering
"BIOINFORMATICS AND BIOMEDICAL ENGINEERING (IWBBIO 2015), PT II",Bioinformatics And Biomedical Engineering
Formal Methods for Components and Objects,Formal Methods For Components And Objects
MONTE CARLO METHODS AND APPLICATIONS,Monte Carlo Methods And Applications
Computing Systems,Computing Systems
"San Jose, CA","San Jose, Ca"
Journal of bioinformatics and computational biology,Journal Of Bioinformatics And Computational Biology
"2006 IEEE 63RD VEHICULAR TECHNOLOGY CONFERENCE, VOLS 1-6","Ieee Vehicular Technology Conference Fall, Vols"
PLOS COMPUTATIONAL BIOLOGY,Plos Computational Biology
Bisimulation semantics for concurrency with atomicity and action refinement,Bisimulation Semantics For Concurrency With Atomicity And Action Refinement
Prospects for Hardware Foundations,Prospects For Hardware Foundations
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,International Journal Of Data Warehousing And Mining
DEStech Transactions on Computer Science and Engineering,Destech Transactions On Computer Science And Engineering
2019 IEEE 29th International Workshop on Machine Learning for Signal Processing (MLSP),Ieee International Workshop On Machine Learning For Signal Processing
5TH INTERNATIONAL CONFERENCE ON PRACTICAL APPLICATIONS OF COMPUTATIONAL BIOLOGY & BIOINFORMATICS (PACBB 2011),International Conference On Practical Applications Of Computational Biology And Bioinformatics
"Cincinnati, OH","Cincinnati, Oh"
2019 11th International Symposium on Image and Signal Processing and Analysis (ISPA),International Symposium On Image And Signal Processing And Analysis
2016 IEEE 46th International Symposium on Multiple-Valued Logic (ISMVL),International Symposium On Multiple-Valued Logic
IFAC Proceedings Volumes,Ifac Proceedings Volumes
ICCI'90 Proceedings of the international conference on Advances in computing and information,Icciproceedings Of The International Conference On Advances In Computing And Information
Combustion and Flame,Combustion And Flame
"ADVANCES IN COMPUTERS, VOL 86",Advances In Computers
2017 International Conference on 3D Vision (3DV),International Conference On 3D Vision
Clinical Rehabilitation,Clinical Rehabilitation
ICT INNOVATIONS 2015: EMERGING TECHNOLOGIES FOR BETTER LIVING,Ict Innovations : Emerging Technologies For Better Living
Proceedings of the 4th conference on Logic programming '85,Proceedings Of The Conference On Logic Programming
international conference on networking sensing and control,"Ieee International Conference On Networking, Sensing, And Control"
Network Design: Connectivity and Facilities Location,Network Design: Connectivity And Facilities Location
Efficient m-mary balanced codes,Efficient -Mary Balanced Codes
IEEE International Conference on Neural Networks - Conference Proceedings,Ieee International Conference On Neural Networks - Conference Proceedings
European Energy Market,European Energy Market
Innovations in Internetworking,Innovations In Internetworking
Third Text,Third Text
"Universal Access in Human-Computer Interaction: Users and Context Diversity, Pt III","Universal Access In Human-Computer Interaction: Users And Context Diversity, Pt"
2017 International Applied Computational Electromagnetics Society Symposium - Italy (ACES),International Applied Computational Electromagnetics Society Symposium - Italy
"2017 18th International Conference on Parallel and Distributed Computing, Applications and Technologies (PDCAT)","International Conference On Parallel And Distributed Computing, Applications And Technologies"
2015 IEEE 1st Workshop on Everyday Virtual Reality (WEVR),Ieee Workshop On Everyday Virtual Reality
LPAR (Dakar),Lpar
"The Design of a Parallel Dense Linear Algebra Software Library: Reduction to Hessenberg, Trididgonal, and Bidiagonal Form","The Design Of A Parallel Dense Linear Algebra Software Library: Reduction To Hessenberg, Trididgonal, And Bidiagonal Form"
2007 9th International Symposium on Signal Processing and Its Applications,International Symposium On Signal Processing And Its Applications
Eclipse Technology eXchange,Eclipse Technology Exchange
AIME '87,Aime
Visualization in Medicine and Life Sciences III,Visualization In Medicine And Life Sciences
ISSRE (Supplemental Proceedings),Issre (Supplemental Proceedings
K-CAP Workshops,K-Cap Workshops
INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,International Journal Of Neural Systems
2018 IEEE 10th International Symposium on Turbo Codes & Iterative Information Processing (ISTC),Ieee International Symposium On Turbo Codes And Iterative Information Processing
SAICSIT,Saicsit
Real-Time Image and Video Processing,Real-Time Image And Video Processing
Network and System Support for Games,Network And System Support For Games
Visual Learning for science and engineering,Visual Learning For Science And Engineering
Hd-graphviz: highly distributed graph visualization on tiled displays,Hd-Graphviz: Highly Distributed Graph Visualization On Tiled Displays
IMA Journal of Numerical Analysis,Ima Journal Of Numerical Analysis
european conference on technology enhanced learning,The European Conference On Technology Enhanced Learning
Extreme Markup Languages®,Extreme Markup Languages
2017 2ND IEEE EUROPEAN SYMPOSIUM ON SECURITY AND PRIVACY WORKSHOPS (EUROS&PW),Ieee European Symposium On Security And Privacy Workshops
2016 39th International Conference on Telecommunications and Signal Processing (TSP),International Conference On Telecommunications And Signal Processing
Innovative Internet Computing Systems,Innovative Internet Computing Systems
IET Networks,Iet Networks
Scientific and Technical Information Processing,Scientific And Technical Information Processing
Nostega: a novel noiseless steganography paradigm,Nostega: A Novel Noiseless Steganography Paradigm
METALURGIA INTERNATIONAL,Metalurgia International
Usability Symposium,Usability Symposium
2017 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),Ieee International Parallel And Distributed Processing Symposium Workshops
ICDE '97 Proceedings of the Thirteenth International Conference on Data Engineering,Icde Proceedings Of The Fourteenth International Conference On Data Engineering
Ultrasonic Imaging,Ultrasonic Imaging
"2006 International Conference on Computational Intelligence and Security, ICCIAS 2006",International Conference On Computational Intelligence And Security
symposium on code generation and optimization,Symposium On Code Generation And Optimization
COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE,Computational And Mathematical Methods In Medicine
Approximation Algorithms for Combinatorial Optimization,Approximation Algorithms For Combinatorial Optimization
International Journal of Wireless and Mobile Computing,International Journal Of Wireless And Mobile Computing
Journal of Computer Virology and Hacking Techniques,Journal Of Computer Virology And Hacking Techniques
2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"Annual International Conference Of The Ieee Engineering In Medicine And Biology Society, Vols"
Conference on Human Factors in Computing Systems,Acm Conference On Human Factors In Computing Systems
2018 5th International Conference on Systems and Informatics (ICSAI),International Conference On Systems And Informatics
Antennas and Propagation,Antennas And Propagation
Network and Complex Systems,Network And Complex Systems
GRAPP (AS/IE),Grapp
"Toulouse, France","Toulouse, France"
Proceedings of the thirty-fifth annual ACM symposium on Theory of computing,Proceedings Of The Thirty-Eighth Annual Acm Symposium On Theory Of Computing
M&N,Andn
BioSecure,Biosecure
"2016 14th International Conference on Control, Automation, Robotics and Vision (ICARCV)","International Conference On Control, Automation, Robotics And Vision"
"ANNUAL RELIABILITY AND MAINTAINABILITY SYMPOSIUM, 2002 PROCEEDINGS","Annual Reliability And Maintainability Symposium, Proceedings"
International Journal of Open Source Software and Processes,International Journal Of Open Source Software And Processes
"allerton conference on communication, control, and computing","Annual Allerton Conference On Communication, Control, And Computing"
Brazilian Symposium on Computer Graphics and Image Processing,Brazilian Symposium On Computer Graphics And Image Processing
"ADVANCES IN CRYPTOLOGY - EUROCRYPT 2018, PT III","Advances In Cryptology - Eurocrypt , Pt"
HotPower,Hotpower
2017 IEEE/SICE INTERNATIONAL SYMPOSIUM ON SYSTEM INTEGRATION (SII),Ieee/Sice International Symposium On System Integration
"REVERSIBLE COMPUTATION, RC 2017","Reversible Computation, Rc"
PROCEEDINGS OF THE 4TH ACM CONFERENCE ON INFORMATION-CENTRIC NETWORKING (ICN 2017),Proceedings Of The Acm Conference On Information-Centric Networking
MMSys '11 Proceedings of the second annual ACM conference on Multimedia systems,Mmsys Proceedings Of The Second Annual Acm Conference On Multimedia Systems
IEEE International Symposium on Information Theory - Proceedings,Ieee International Symposium On Information Theory Proceedings
"2017 International Conference on Behavioral, Economic, Socio-cultural Computing (BESC)","International Conference On Behavioral, Economic And Socio-Cultural Computing"
IEEE Transactions Information Forensics and Security,Ieee Transactions On Information Forensics And Security
2015 8th IFIP Wireless and Mobile Networking Conference (WMNC),Ifip Wireless And Mobile Networking Conference
SIGGRAPH ASIA Computer Animation Festival,Siggraph Asia (Computer Animation Festival
Journal of Intelligent Information Systems,Journal Of Intelligent Information Systems
Land Use Policy,Land Use Policy
Proceedings of the 2011 iConference,Proceedings Of The Iconference
WOSP,Wosp
MASS,Mass
International Journal of System Dynamics Applications,International Journal Of System Dynamics Applications
DMS 2016: THE 22ND INTERNATIONAL CONFERENCE ON DISTRIBUTED MULTIMEDIA SYSTEMS,Dms : The International Conference On Distributed Multimedia Systems
2019 58th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE),Annual Conference Of The Society Of Instrument And Control Engineers Of Japan
Data & Knowledge Engineering - Special issue: natural language for data bases (workshop 1996),Data And Knowledge Engineering - Special : Natural Language For Data Bases
WEB CONTENT CACHING AND DISTRIBUTION,Web Content Caching And Distribution
International Conference on Knowledge Capture,International Conference On Knowledge Capture
EURASIP JOURNAL ON EMBEDDED SYSTEMS,Eurasip Journal On Embedded Systems
"SIGMETRICS '86/PERFORMANCE '86 Proceedings of the 1986 ACM SIGMETRICS joint international conference on Computer performance modelling, measurement and evaluation","Sigmetrics /Performance Proceedings Of The Acm Sigmetrics Joint International Conference On Computer Performance Modelling, Measurement And Evaluation"
